algorithm,n_generations,n_states,n_signals,n_samples,threshold,util_gen2gen,util_gen2ground
LinearFunctionPlayer,100,1000,2,200,0.5,0.9978899999999998,0.9772574257425745
LinearFunctionPlayer,100,1000,2,200,0.5,0.9976700000000001,0.983891089108911
LinearFunctionPlayer,100,1000,2,200,0.5,0.9976399999999999,0.9932970297029704
LinearFunctionPlayer,100,1000,2,200,0.5,0.9975499999999999,0.9918415841584157
LinearFunctionPlayer,100,1000,2,200,0.5,0.99799,0.9882673267326733
LinearFunctionPlayer,100,1000,2,200,0.5,0.9976900000000001,0.9721584158415844
LinearFunctionPlayer,100,1000,2,200,0.5,0.9976599999999999,0.953742574257426
LinearFunctionPlayer,100,1000,2,200,0.5,0.9973299999999999,0.9741584158415841
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977599999999999,0.9895346534653465
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980199999999999,0.9646930693069306
LinearFunctionPlayer,100,1000,2,200,0.5,0.99802,0.9903564356435641
LinearFunctionPlayer,100,1000,2,200,0.5,0.99779,0.9761980198019801
LinearFunctionPlayer,100,1000,2,200,0.5,0.998,0.9937425742574255
LinearFunctionPlayer,100,1000,2,200,0.5,0.9979599999999997,0.9897227722772275
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977899999999998,0.9911980198019802
LinearFunctionPlayer,100,1000,2,200,0.5,0.9978,0.9899405940594062
LinearFunctionPlayer,100,1000,2,200,0.5,0.99744,0.975069306930693
LinearFunctionPlayer,100,1000,2,200,0.5,0.9975049999999999,0.9788168316831682
SigmoidPlayer,100,1000,2,200,0.5,0.99789,0.9452673267326733
SigmoidPlayer,100,1000,2,200,0.5,0.99753,0.9816831683168316
SigmoidPlayer,100,1000,2,200,0.5,0.9975099999999998,0.940089108910891
SigmoidPlayer,100,1000,2,200,0.5,0.9978099999999999,0.9874851485148515
SigmoidPlayer,100,1000,2,200,0.5,0.99748,0.9694950495049505
SigmoidPlayer,100,1000,2,200,0.5,0.9976200000000002,0.9516534653465347
SigmoidPlayer,100,1000,2,200,0.5,0.99807,0.9904653465346536
SigmoidPlayer,100,1000,2,200,0.5,0.9973900000000002,0.9457623762376239
SigmoidPlayer,100,1000,2,200,0.5,0.9979600000000001,0.9778316831683167
SigmoidPlayer,100,1000,2,200,0.5,0.9980000000000001,0.9700693069306928
SigmoidPlayer,100,1000,2,200,0.5,0.99749,0.9639801980198018
SigmoidPlayer,100,1000,2,200,0.5,0.9978999999999999,0.98409900990099
SigmoidPlayer,100,1000,2,200,0.5,0.9976100000000001,0.9447920792079209
SigmoidPlayer,100,1000,2,200,0.5,0.9975799999999999,0.9448712871287129
SigmoidPlayer,100,1000,2,200,0.5,0.99784,0.9734950495049505
SigmoidPlayer,100,1000,2,200,0.5,0.99752,0.9550990099009902
SigmoidPlayer,100,1000,2,200,0.5,0.9975200000000002,0.9482277227722772
SigmoidPlayer,100,1000,2,200,0.5,0.9975399999999998,0.9488217821782179
